SMILES,Reactant_set_id,IC50 (nM),MW,LogP,HBA,HBD,Rotatable Bonds
COCCOc1ccc(cc1)-c1nn2C(CCNc2c1C(N)=O)c1ccccc1NC(=O)C=C,51304478,0.63,461.5220000000003,3.2037000000000013,7,3,9
Nc1ccc2ncnc(Nc3ccc4[nH]ccc4c3)c2c1,51499303,0.65,275.31500000000005,3.4369000000000014,4,3,2
ONC(=O)CCCCCn1cc(nn1)-c1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,50535574,0.65,469.9080000000002,4.490200000000002,8,3,9
Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1,5473,0.65,429.32200000000034,3.275000000000001,7,2,6
COc1cc2c(Nc3cccc(c3)C#C)ncnc2cc1OCCCn1ccnc1[N+]([O-])=O,50258913,0.65,444.4510000000003,3.9371000000000023,9,1,9
COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCCn1ccnc1[N+]([O-])=O,50258412,0.66,499.32500000000033,4.718300000000004,9,1,9
NC(=O)c1c2NCCC(c3ccccc3NC(=O)C=C)n2nc1-c1ccc(cc1)C(F)(F)F,51304480,0.66,455.44000000000017,4.197300000000003,5,3,5
CN1C[C@H]2[C@H](CCOc3cc4ncnc(Nc5ccc(F)c(Cl)c5)c4cc3NC(=O)C=C)[C@H]2C1,653346,0.66,481.9590000000002,4.866900000000004,6,2,8
CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,50501199,0.662,330.75000000000006,4.124300000000002,4,2,3
COc1cc2ncnc(Nc3cccc(Br)c3)c2c(OC)c1OC,5326,0.67,390.2370000000002,4.161700000000003,6,1,5
CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CCN(C)C,50933661,0.68,455.9210000000002,4.931480000000004,6,2,8
CNc1cc2ncnc(Nc3cccc(Br)c3)c2cc1N,5306,0.69,344.2160000000001,3.759800000000001,5,3,3
ONC(=O)CCCCCCn1cc(nn1)-c1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,50535479,0.69,483.9350000000001,4.880300000000004,8,3,10
Cl\C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,7254,0.69,404.6550000000001,4.2219000000000015,5,2,4
CCOCCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C=C\CN(C)C,651597,0.699,487.9630000000002,4.637500000000003,7,2,11
NC(=O)Cc1cccc(c1)-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,51381353,0.7,387.443,2.7982000000000005,5,4,7
COc1cc(NS(C)(=O)=O)ccc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2[nH]1,51381347,0.7,437.5250000000001,4.178100000000002,6,3,7
C[C@@H](Nc1ncnc2[nH]c(cc12)-c1ccc(cc1)S(N)(=O)=O)c1ccccc1,51381334,0.7,393.47200000000015,3.445400000000001,5,3,5
Brc1cccc(Nc2ncnc3ccc(NC(=O)C=C)cc23)c1,7247,0.7,369.22200000000015,4.2604000000000015,4,2,4
C[C@@H](Nc1ncnc2[nH]c(cc12)-c1ccc(NC(C)=O)cc1)c1ccccc1,51381337,0.7,371.4440000000001,4.756400000000003,4,3,5
Clc1cnc(Nc2ccc(CN3CCOCC3)cc2)nc1Nc1cccc(NC(=O)C=C)c1,51142698,0.71,464.9570000000001,4.573900000000003,7,3,8
CN(CC(O)=O)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12,5404,0.72,440.3010000000001,4.133600000000002,5,3,6
NC(=O)c1c2NCCC(CNC(=O)C=C)n2nc1-c1ccc(Oc2ccccc2)cc1,51304422,0.72,417.4690000000001,3.100200000000001,6,3,7
Fc1ccc(Nc2ncnc3cnc(NC(=O)C=C)cc23)cc1Br,50056631,0.72,388.2000000000001,3.794500000000001,5,2,4
[O-][N+]1(CCCNc2cc3ncnc(Nc4cccc(Br)c4)c3cn2)CCOCC1,5424,0.74,459.3480000000002,3.6777000000000015,7,2,7
