SMILES,Reactant_set_id,IC50 (nM),MW,LogP,HBA,HBD,Rotatable Bonds
Brc1cccc(Nc2ncnc3cc(NCCCN4CCOCC4)ncc23)c1,5422,1.9,443.34900000000033,3.6651000000000016,7,2,7
Brc1cccc(Nc2ncnc3cc(NCCCCN4CCOCC4)ncc23)c1,5423,5.4,457.3760000000004,4.055200000000002,7,2,8
[O-][N+]1(CCCNc2cc3ncnc(Nc4cccc(Br)c4)c3cn2)CCOCC1,5424,0.74,459.34800000000024,3.6777000000000024,7,2,7
CN1CCN(CCCNc2cc3ncnc(Nc4cccc(Br)c4)c3cn2)CC1,5425,4.9,456.39200000000017,3.580300000000001,7,2,7
OCCN(CCO)CCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,5426,9.2,447.3370000000001,2.229399999999999,8,4,10
OCCN(CCO)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,5427,1.2,461.3640000000001,2.6194999999999995,8,4,11
NNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,5428,7.1,331.177,2.8165000000000004,6,3,3
Brc1cccc(Nc2ncnc3cc(NCCCn4ccnc4)ncc23)c1,5429,0.51,424.30600000000015,4.229600000000001,7,2,7
Brc1cccc(Nc2ncnc3cc(NCCc4cnc[nH]4)ncc23)c1,5430,0.91,410.2790000000001,3.9086,6,3,6
OC(=O)CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,5431,1.5,374.1980000000001,3.027400000000001,6,3,5
OC(=O)CCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,5432,0.61,388.2250000000001,3.4175000000000013,6,3,6
OC(=O)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,5433,0.28,402.25200000000007,3.8076000000000016,6,3,7
OS(=O)(=O)CCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,5435,1.4,424.2800000000001,2.8306000000000004,7,3,6
